Question,label
"The joint probability density function of random variables X and Y is given by f(x,y) = 2/(x+y)^3 for 0 < x < y < ∞, and 0 otherwise. Find the marginal probability density function of X.",3
"A chess tournament has 8 players. In each round, 4 random pairings are made. What is the probability that a specific player will face each of the other 7 players exactly once in the first 7 rounds? Express your answer as a decimal rounded to 6 decimal places.",3
"Show that if H is a normal subgroup of a topological group G, then the quotient group G/H with the quotient topology is a topological group.",7
"Find the volume of the solid obtained by rotating the region bounded by y = x^3, y = 8, and the y-axis about the line x = 2.",2
"A right circular cone has a height of 12 cm and a base radius of 5 cm. Calculate the surface area of the cone, excluding the base.",1
"In a game show, contestants spin a wheel with 20 equal sectors: 10 red, 6 blue, and 4 green. If a contestant spins the wheel twice, what's the likelihood of getting different colors on each spin? Express your answer as a percentage.",3
"A function f(x) is defined as the smallest prime number greater than x. If a real number is randomly chosen from the interval [0, 10], what is the probability that f(x) is odd?",3
"Let f(x) = ⌊log₃(x²+1)⌋, where ⌊y⌋ denotes the floor function (greatest integer not exceeding y). If X is a random variable uniformly distributed over [0,5], calculate P(f(X) is odd).",3
"A biased six-sided die has probabilities of rolling each number as follows: 1 (10%), 2 (15%), 3 (20%), 4 (25%), 5 (20%), 6 (10%). The die is rolled repeatedly until the sum of the rolls exceeds 15. What is the expected number of rolls needed?",3
"Let q(x,y) = xy(x^2 - y^2) / (x^2 + y^2)^2 for (x,y) ≠ (0,0), and q(0,0) = 0. Determine if the integral of q over the unit disk centered at the origin converges or diverges.",2
"For a topological space X, show that if every continuous function f: X → ℝ is constant, then X is connected.",7
"In a psychology experiment, reaction times T (in seconds) are modeled by an exponential distribution with mean 0.5 seconds. What is the probability that a randomly selected participant's reaction time exceeds 1 second? Give your answer as a decimal to three places.",3
"A positive integer is called ""lucky"" if it's divisible by the product of its non-zero digits. How many lucky numbers are there between 1 and 1000?",4
Let B be an m × m matrix where the element in the i-th row and j-th column is defined as B_ij = sin(πi/2m) * cos(πj/2m). Find an expression for the trace of B in terms of m.,6
"Let P be a 2x2 matrix representing a linear transformation that rotates vectors by θ degrees counterclockwise. If P[[3], [4]] = [[a], [b]], determine the number of possible integer values for θ in the range 0° ≤ θ < 360° where a + b = 5.",6
"Given a compact Hausdorff space X and a continuous surjection f: X → Y, show that Y is also compact.",7
"Consider the ring of continuous functions f : [0,1] → ℝ. Show that the set of functions with f(0) = 0 forms a maximal ideal in this ring.",7
"Let A be a 3x3 matrix with eigenvectors e₁ = (1, 1, 0), e₂ = (0, 1, 1), and e₃ = (1, 0, 1), corresponding to eigenvalues λ₁ = 2, λ₂ = 3, and λ₃ = 4 respectively. Find the trace and determinant of matrix A.",6
Find the largest integer value of k for which the following system has no real solutions:  \[ \left\{\begin{array}{l} \frac{z}{k+\cos(x)-2}=3 \\ z=\frac{\cos(x)+7}{\cos(x)+2} \end{array}\right. \],0
"Find all triplets (a, b, c) of positive integers where a and b are prime numbers, their sum is not divisible by 5, and a² + b² = c³.",4
"Let A be an n × n matrix with entries a_ij = min(i,j) for all i,j. Prove that the rank of A is n, and find an expression for its determinant in terms of n.",6
"A particle moves along a curve defined by x(t) = t^3 - 3t and y(t) = t^2 - 1. Determine the maximum curvature of this path for t in the interval [-2, 2].",2
"A positive integer is called ""harmonious"" if the sum of its proper divisors is also a divisor of the number. How many harmonious numbers are there below 500?",4
"Eight people are randomly seated in a row. If Alice and Bob are among these eight, what's the probability that they end up sitting next to each other? Provide your answer as a simplified fraction.",3
For how many positive integer values of n less than 1000 does the equation 2ⁿ + 3ⁿ = 5ⁿ (mod n) hold true?,4
"Let p be a prime number greater than 3. Prove that 24 always divides p² - 1, and find all primes p for which (p² - 1) / 24 is also prime.",4
"In a regular hexagon with side length 4, what is the area of the largest circle that can be inscribed within it?",1
"Let M be an n × n matrix where the element in the i-th row and j-th column is defined as M_ij = 2^(i+j) mod 5. For n = 4, find the rank of matrix M.",6
"In a survey of 200 students, 80 play soccer, 70 play basketball, and 30 play both sports. If a student is randomly selected, what is the probability (as a percentage) that they play either soccer or basketball?",3
How many divisors of 2400 are multiples of 15?,4
"In a survey of 200 people, 80 prefer tea and 120 prefer coffee. If 3 people are randomly selected from this group, what's the probability that at least 2 of them prefer coffee?",3
"In a 3D computer graphics system, a point P(2, 3, -1) undergoes a series of transformations. First, it's rotated 90° counterclockwise around the y-axis, then translated by vector t⃗ = (1, -2, 4), and finally scaled by a factor of 3 in all dimensions. Determine the final coordinates of P after these transformations.",6
How many perfect squares are there between 100 and 1000 that are also multiples of 3?,4
Consider a 4×4 matrix A where the element in the i-th row and j-th column is given by |i-j|+1. Calculate the determinant of A.,6
"A cryptographer has 22 distinct encryption keys labeled from 100 to 121. She needs to distribute these keys among four secure servers, with each server receiving at least one key. Calculate the number of possible distributions if no server can have two keys whose labels' sum is divisible by 3.",5
Let G be a finite group and p be the smallest prime dividing |G|. Prove that any subgroup of G with index p is normal in G.,7
"For an n×n matrix B with entries b_ij = min(i,j)/max(i,j), calculate the trace of B^n as n approaches infinity.",6
"A factory produces electronic components in batches of 100. Quality control randomly selects and tests components until either 3 defective items are found or 10 items have been tested, whichever comes first. If the defect rate is 5%, what is the probability that exactly 10 items will be tested in a given batch? Express your answer as a simplified fraction.",3
A continuous random variable X follows a distribution where its cumulative distribution function is given by F(x) = x^3 for 0 ≤ x ≤ 1. What is the probability that X is greater than 0.5?,3
"Consider the ring of integers modulo 8, $\mathbb{Z}_8$. Identify all nilpotent elements in this ring and justify your answer.",7
"A quiz show has 20 contestants, each assigned a unique number from 1 to 20. Contestants are randomly called to answer questions. If a contestant's number matches one previously called, both are eliminated. The show ends when either 3 non-consecutive numbers are active or all contestants have been called. What percentage chance is there that every contestant will be called during the show?",3
"Suppose X is a connected topological space and f: X → Y is a continuous surjection, where Y has the discrete topology. Prove that Y must be a singleton set.",7
"In a deck of 52 playing cards, how many ways can you select 7 cards such that no two cards have the same rank (e.g., no pair of Aces, Kings, etc.) and at least one card is a face card (Jack, Queen, or King)?",5
"Given a compact Hausdorff space X and a continuous surjective map f: X → Y, prove that Y is also compact and Hausdorff.",7
"Let h(x,y) = (x^2 + y^2) cos(1/(x^2 + y^2)) for (x,y) ≠ (0,0), and h(0,0) = 0. Evaluate lim(x,y→0,0) h(x,y), if this limit exists.",2
"Solve the system of equations: 3x + 2y = 12, 5x - y = 7. Which of the following is correct? (A) x = 3, y = 1.5 (B) x = 2, y = 3 (C) x = 4, y = 0 (D) No solution exists (E) Infinitely many solutions exist",6
"In a 3D coordinate system, three planes are defined by equations: 2x + y - z = 4, x - 3y + 2z = 1, and 3x + 2y + z = 7. Determine if these planes intersect at a single point, and if so, find the coordinates of that point.",6
"Given matrices A = [[2, -1], [3, 4]] and B = [[x, 2], [1, y]], find the number of integer pairs (x, y) that satisfy det(A + B) = 15.",6
"Consider a plane in R³ defined by the equation 2x - 3y + z = 5. Find a vector n⃗ normal to this plane, and use it to determine two linearly independent vectors that lie within the plane. Express your answer as a set of basis vectors for the plane.",6
"Given q(x,y) = (x^2 - y^2) ln(x^2 + y^2) for (x,y) ≠ (0,0), and q(0,0) = 0, calculate the partial derivatives qx and qy at the origin, if they exist.",2
Let X be the topological space obtained by gluing two copies of the unit disk along their boundaries. Compute the fundamental group of X.,7
Calculate the smallest non-negative integer p that makes the following system inconsistent:  \[ \left\{\begin{array}{l} \frac{r}{p-\sinh(q)-7}=1 \\ r=\frac{\sinh(q)+11}{\sinh(q)+3} \end{array}\right. \],0
"Given three polynomials P(x), Q(x), and R(x) that satisfy: P(x) = √(Q²(x) - 1/9) + √(R²(x) - 1/9) Q(x) = √(R²(x) - 1/16) + √(P²(x) - 1/16) R(x) = √(P²(x) - 1/25) + √(Q²(x) - 1/25) If P(x) + Q(x) + R(x) = a/√b, where a and b are coprime positive integers and b is square-free, determine the value of a + b.",0
"Let vectors u = (2, -1, 3) and v = (cos θ, sin θ, 1) where θ is an angle. If |u| = √14 and |v| = √3, determine the maximum and minimum possible values of the dot product u · v. Express your answer in terms of √42.",6
"Emma starts a 5K race at a steady pace of 2.5 m/s. Her friend Olivia begins the same race 10 minutes later, running at 3 m/s. Olivia takes a 30-second break every kilometer. At what distance from the starting line will Olivia overtake Emma?",0
"Let G be a group with a normal subgroup N. Prove that if G/N is cyclic, then G is abelian if and only if G/N is isomorphic to the direct product of N and G/N.",7
"A fair six-sided die is rolled 4 times. Calculate the probability of rolling at least one 6, expressed as a decimal rounded to three places.",3
"Find all triplets (a, b, c) of positive integers where a and b are prime numbers, a+b is not divisible by 5, and a+b = c(a-b)^2.",4
"Given a continuous function f from a compact metric space X to a metric space Y, demonstrate that f(X) is closed in Y.",7
"Consider the subspace W of R³ spanned by vectors (1, 1, 0) and (0, 1, 1). What is the dimension of W? A) 0 B) 1 C) 2 D) 3 E) Cannot be determined from the given information",6
"If the sum of the proper divisors of a number is equal to the number itself, it is called a perfect number. How many perfect numbers are there between 1 and 10,000?",4
"Given a topological space X, show that if X is compact and Hausdorff, then X is normal.",7
"A cylindrical water tank with radius r and height h is tilted at an angle θ to the horizontal. Find the volume of water remaining in the tank when it's half-full in terms of r, h, and θ. Express your answer in terms of π.",1
"A cryptographer designs a square code matrix E of size p × p, where p is prime. The element e_ij is defined as i^j mod p. Determine the conditions under which E is invertible.",6
